Movie,StoryLine
"Hocus Pocus 2
2022
PG
1h 43m","Two young women accidentally bring back the Sanderson Sisters to modern-day Salem and must figure out how to stop the child-hungry witches from wreaking havoc on the world. The world may have been free of Winifred, Mary, and Sarah and the fear they invoked in us all, but what happens when you mess with magic? It messes back."
"Hocus Pocus
1993
PG
1h 36m","300 years have passed since the Sanderson sisters were executed for practicing dark witchcraft. Returning to life thanks to a combination of a spell spoken before their demise and the accidental actions of Max, the new-kid-in-town, the sisters have but one night to secure their continuing existence... —anonymous"
"She-Hulk: Attorney at Law
TV Series
2022–
TV-14
35m","Jennifer Walters navigates the complicated life of a single, 30-something attorney who also happens to be a green 6-foot-7-inch superpowered Hulk."
"The Super Mario Bros. Movie
2023","A plumber named Mario travels through an underground labyrinth with his brother, Luigi, trying to save a captured princess. Feature film adaptation of the popular video game."
"Bullet Train
2022
R
2h 7m","Unlucky assassin Ladybug (Brad Pitt) is determined to do his job peacefully after one too many gigs has gone off the rails. Fate has other plans, however: Ladybug's latest mission puts him on a collision course with lethal adversaries from around the globe--all with connected, yet conflicting, objectives--on the world's fastest train. The end of the line is just the beginning in this non-stop thrill-ride through modern-day Japan."
"Amsterdam
2022
R
2h 14m","In the 1930s, three friends witness a murder, are framed for it, and uncover one of the most outrageous plots in American history."
"Bros
2022
R
1h 55m",Two men with commitment problems attempt a relationship.
"Werewolf by Night
TV Special
2022
TV-14
52m","On a dark and somber night, a secret cabal of monster hunters emerge from the shadows and gather at the foreboding Bloodstone Temple following the death of their leader. In a strange and macabre memorial to the leader's life, the attendees are thrust into a mysterious and deadly competition for a powerful relic--a hunt that will ultimately bring them face to face with a dangerous monster. —Disney+"
"The Munsters
2022
PG
1h 49m","Reboot of ""The Munsters"", that followed a family of monsters who moves from Transylvania to an American suburb."
"The Greatest Beer Run Ever
2022
R
2h 6m",A man's story of leaving New York in 1967 to bring beer to his childhood buddies in the Army while they are fighting in Vietnam.
"Rick and Morty
TV Series
2013–
TV-MA
23m","An animated series on adult-swim about the infinite adventures of Rick, a genius alcoholic and careless scientist, with his grandson Morty, a 14 year-old anxious boy who is not so smart. Together, they explore the infinite universes; causing mayhem and running into trouble. —Ruben Galaviz"
"Thor: Love and Thunder
2022
PG-13
1h 58m","Thor's retirement is interrupted by a galactic killer known as Gorr the God Butcher, who seeks the extinction of the gods. To combat the threat, Thor enlists the help of King Valkyrie, Korg and ex-girlfriend Jane Foster, who - to Thor's surprise - inexplicably wields his magical hammer, Mjolnir, as the Mighty Thor. Together, they embark upon a harrowing cosmic adventure to uncover the mystery of the God Butcher's vengeance and stop him before it's too late."
"Cobra Kai
TV Series
2018–
TV-14
30m","Thirty years after their final confrontation at the 1984 All Valley Karate Tournament, Johnny Lawrence is at rock-bottom as an unemployed handyman haunted by his wasted life. However, when Johnny rescues bullied kid Miguel from tormentors, he is inspired to restart the notorious Cobra Kai dojo. However, this revitalization of his life and related misunderstandings find Johnny restarting his old rivalry with Daniel LaRusso, a successful businessman who may be happily married, but is missing an essential balance in life since the death of his mentor, Mr. Miyagi. Even as this antipathy festers, it finds itself reflected in their protegees as Miguel and his comrades are gradually poisoned by Cobra Kai's thuggish philosophy. Meanwhile, while Daniel's daughter Samantha finds herself in the middle of this conflict amidst false friends, Johnny's estranged miscreant son Robby finds himself inadvertently coming under Daniel's wing and flourishes in ways worthy of Mr. Miyagi. —Kenneth Chisholm (kchishol@rogers.com)"
"The Boys
TV Series
2019–
TV-MA
1h","The Boys is set in a universe in which superpowered people are recognized as heroes by the general public and owned by a powerful corporation, Vought International, which ensures that they are aggressively marketed and monetized. Outside of their heroic personas, most are arrogant and corrupt. The series primarily focuses on two groups: the titular Boys, vigilantes looking to keep the corrupted heroes under control, and the Seven, Vought International's premier superhero team. The Boys are led by Billy Butcher, who despises all superpowered people, and the Seven are led by the egotistical and unstable Homelander. As a conflict ensues between the two groups, the series also follows the new members of each team: Hugh ""Hughie"" Campbell of the Boys, who joins the vigilantes after his girlfriend is killed in a high-speed collision by the Seven's A-Train, and Annie January/Starlight of the Seven, a young and hopeful heroine forced to face the truth about the heroes she admires."
"Do Revenge
2022
TV-MA
1h 58m","Drea is at the peak of her high school powers when her entire life goes up in flames after her sex tape gets leaked to the whole school, seemingly by her boyfriend and king of the school, Max. Eleanor is an awkward new transfer student who is angered to find out that she now has to go to school with her old bully, Carissa who started a nasty rumor about her in summer camp when they were 13. After a clandestine run-in at tennis camp, Drea and Eleanor form an unlikely and secret friendship to get revenge on each other's tormentors."
"The Bear
TV Series
2022–
TV-MA
30m","Carmen Berzatto, a brilliant young chef from the fine-dining world is forced to return home to run his family sandwich shop - the Original Beef of Chicagoland - after a heartbreaking death in his family. A world away from what he's used to, Carmy must balance the soul-crushing reality of trading in Michelin star restaurants for the small business' kitchen filled with strong-willed and recalcitrant staff and his strained familial relationships, all while grappling with the impact of his brother's suicide."
"Entergalactic
2022
TV-MA
1h 33m","Jabari, a charming, streetwear-clad artist on the cusp of real success. After a chance run-in with his cool new photographer neighbor, Meadow, Jabari has to figure out whether he can make space for love in his life."
"Ted Lasso
TV Series
2020–
TV-MA
30m","American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League football team."
"Bad Sisters
TV Series
2022–
TV-MA
53m","Follows the Garvey sisters, who are bound together by the death of their parents and a promise to always protect each other."
"The White Lotus
TV Series
2021–2022
TV-MA
1h","Set in a tropical resort, it follows the exploits of various guests and employees over the span of a week."
"Violent Night
2022
R
1h 41m","A team of elite mercenaries breaks into a wealthy family compound on Christmas Eve, taking everyone inside hostage. But the team isn't prepared for a surprise combatant: Santa Claus is on the grounds, and he's about to show why this Nick is no saint. —Justin Kroll"
"DC League of Super-Pets
2022
PG
1h 45m","When the Justice League are captured by Lex Luthor, Superman's dog, Krypto, forms a team of shelter-pets who were given super-powers: A hound named Ace, who becomes super-strong, a pig named PB, who can grow to giant-size, a turtle named Merton, who becomes super-fast, and a squirrel named Chip, who gains electric-powers."
"Everything Everywhere All at Once
2022
R
2h 19m","With her laundromat teetering on the brink of failure and her marriage to wimpy husband Waymond on the rocks, overworked Evelyn Wang struggles to cope with everything, including a tattered relationship with her judgmental father Gong Gong and Joy, her daughter. And, as if facing a gloomy midlife crisis weren't enough, Evelyn must brace herself for an unpleasant meeting with an impersonal bureaucrat: Deirdre, the shabbily dressed IRS auditor. However, as the stern agent loses patience, an inexplicable multiverse rift becomes an eye-opening exploration of parallel realities. Will Evelyn jump down the rabbit hole? How many stars are there in the universe? Can weary Evelyn fathom the irrepressible force of possibilities, tap into newfound powers, and prevent an evil entity from destroying the thin, countless layers of the unseen world? —Nick Riganas"
"The Office
TV Series
2005–2013
TV-14
22m","A mediocre paper company in the hands of Scranton, PA branch manager Michael Scott. This mockumentary follows the everyday lives of the manager and the employees he ""manages."" The crew follows the employees around 24/7 and captures their quite humorous and bizarre encounters as they will do what it takes to keep the company thriving. —ahmetkozan"
"Ticket to Paradise
2022
PG-13
1h 44m","David and Georgia, two divorced parents who can't stand each other, head to Bali after their daughter, Lily, announces her plans to marry a local islander she just met while on holiday. They decide to put aside their differences and work together to stop the wedding, believing that doing so will keep Lily from making a dreadful mistake similar to their own. —J. Brown"
"Triangle of Sadness
2022
R
2h 30m","Models Carl and Yaya are navigating the world of fashion while exploring the boundaries of their relationship. The couple are invited for a luxury cruise with a rogues' gallery of super-rich passengers, a Russian oligarch, British arms dealers and an idiosyncratic, alcoholic, Marx-quoting captain. At first, all appears Instagrammable. But a storm is brewing, and heavy seasickness hits the passengers during the seven-course captain's dinner. The cruise ends catastrophically. Carl and Yaya find themselves marooned on a desert island with a group of billionaires and one of the ship's cleaners. Hierarchy is suddenly flipped upside down, as the housekeeper is the the only one who knows how to fish. —Anonymous"
